iter	Passed	Remaining
1074	839	331
1075	840	331
1076	841	330
1077	841	329
1078	842	328
1079	843	327
1080	844	327
1081	844	326
1082	845	325
1083	846	324
1084	847	324
1085	847	323
1086	848	322
1087	849	321
1088	850	320
1089	851	320
1090	851	319
1091	852	318
1092	853	317
1093	854	317
1094	855	316
1095	856	315
1096	856	314
1097	857	313
1098	858	313
1099	858	312
1100	859	311
1101	860	310
1102	861	309
1103	861	309
1104	862	308
1105	863	307
1106	864	306
1107	864	306
1108	865	305
1109	866	304
1110	867	303
1111	868	302
1112	868	302
1113	869	301
1114	870	300
1115	871	299
1116	872	298
1117	873	298
1118	874	297
1119	875	296
1120	875	296
1121	876	295
1122	877	294
1123	877	293
1124	878	292
1125	879	292
1126	880	291
1127	881	290
1128	881	289
1129	882	289
1130	883	288
1131	884	287
1132	885	286
1133	886	285
1134	886	285
1135	887	284
1136	888	283
1137	889	282
1138	889	282
1139	890	281
1140	891	280
1141	892	279
1142	892	278
1143	893	278
1144	894	277
1145	895	276
1146	896	275
1147	897	275
1148	897	274
1149	898	273
1150	898	272
1151	899	271
1152	900	270
1153	900	270
1154	901	269
1155	901	268
1156	902	267
1157	903	266
1158	904	266
1159	905	265
1160	905	264
1161	907	263
1162	907	263
1163	908	262
1164	909	261
1165	910	260
1166	911	260
1167	912	259
1168	913	258
1169	914	257
1170	914	257
1171	915	256
1172	916	255
1173	917	254
1174	917	253
1175	918	253
1176	919	252
1177	920	251
1178	920	250
1179	921	249
1180	923	249
1181	923	248
1182	924	247
1183	925	246
1184	926	246
1185	927	245
1186	928	244
1187	928	243
1188	929	243
1189	930	242
1190	931	241
1191	932	240
1192	932	240
1193	933	239
1194	934	238
1195	935	237
1196	936	236
1197	936	236
1198	937	235
1199	938	234
1200	939	233
1201	939	233
1202	940	232
1203	941	231
1204	942	230
1205	942	229
1206	943	229
1207	944	228
1208	945	227
1209	945	226
1210	946	225
1211	947	225
1212	948	224
1213	949	223
1214	949	222
1215	950	222
1216	951	221
1217	952	220
1218	953	219
1219	953	218
1220	954	218
1221	955	217
1222	956	216
1223	957	215
1224	957	215
1225	958	214
1226	959	213
1227	959	212
1228	960	211
1229	961	211
1230	961	210
1231	962	209
1232	963	208
1233	964	207
1234	964	207
1235	965	206
1236	966	205
1237	967	204
1238	968	203
1239	968	203
1240	969	202
1241	969	201
1242	970	200
1243	971	199
1244	972	199
1245	972	198
1246	973	197
1247	974	196
1248	974	195
1249	975	195
1250	976	194
1251	977	193
1252	978	192
1253	979	192
1254	980	191
1255	980	190
1256	981	189
1257	982	189
1258	983	188
1259	984	187
1260	985	186
1261	985	185
1262	986	185
1263	987	184
1264	988	183
1265	989	182
1266	990	182
1267	990	181
1268	991	180
1269	992	179
1270	993	178
1271	994	178
1272	995	177
1273	995	176
1274	996	175
1275	997	175
1276	998	174
1277	999	173
1278	1000	172
1279	1001	172
1280	1001	171
1281	1002	170
1282	1003	169
1283	1004	168
1284	1004	168
1285	1005	167
1286	1006	166
1287	1006	165
1288	1007	164
1289	1008	164
1290	1008	163
1291	1009	162
1292	1010	161
1293	1011	160
1294	1011	160
1295	1012	159
1296	1013	158
1297	1014	157
1298	1014	157
1299	1015	156
1300	1016	155
1301	1017	154
1302	1017	153
1303	1018	153
1304	1019	152
1305	1020	151
1306	1021	150
1307	1021	150
1308	1022	149
1309	1023	148
1310	1024	147
1311	1025	146
1312	1026	146
1313	1026	145
1314	1027	144
1315	1028	143
1316	1029	143
1317	1029	142
1318	1030	141
1319	1031	140
1320	1032	139
1321	1033	139
1322	1033	138
1323	1034	137
1324	1035	136
1325	1035	135
1326	1036	135
1327	1037	134
1328	1037	133
1329	1038	132
1330	1039	131
1331	1040	131
1332	1041	130
1333	1042	129
1334	1043	128
1335	1043	128
1336	1044	127
1337	1045	126
1338	1046	125
1339	1046	125
1340	1047	124
1341	1048	123
1342	1049	122
1343	1050	121
1344	1051	121
1345	1051	120
1346	1052	119
1347	1053	118
1348	1053	117
1349	1054	117
1350	1055	116
1351	1055	115
1352	1057	114
1353	1057	114
1354	1058	113
1355	1059	112
1356	1060	111
1357	1060	110
1358	1061	110
1359	1062	109
1360	1063	108
1361	1064	107
1362	1065	107
1363	1065	106
1364	1066	105
1365	1067	104
1366	1068	103
1367	1069	103
1368	1070	102
1369	1070	101
1370	1071	100
1371	1072	100
1372	1073	99
1373	1073	98
1374	1074	97
1375	1075	96
1376	1076	96
1377	1077	95
1378	1078	94
1379	1079	93
1380	1080	93
1381	1081	92
1382	1082	91
1383	1083	90
1384	1084	90
1385	1084	89
1386	1085	88
1387	1086	87
1388	1087	86
1389	1088	86
1390	1089	85
1391	1089	84
1392	1090	83
1393	1091	82
1394	1092	82
1395	1092	81
1396	1093	80
1397	1094	79
1398	1094	79
1399	1095	78
1400	1096	77
1401	1096	76
1402	1097	75
1403	1097	75
1404	1098	74
1405	1099	73
1406	1099	72
1407	1100	71
1408	1101	71
1409	1101	70
1410	1102	69
1411	1103	68
1412	1104	67
1413	1104	67
1414	1105	66
1415	1106	65
1416	1107	64
1417	1107	64
1418	1108	63
1419	1109	62
1420	1110	61
1421	1110	60
1422	1111	60
1423	1112	59
1424	1113	58
1425	1114	57
1426	1114	57
1427	1115	56
1428	1115	55
1429	1116	54
1430	1117	53
1431	1118	53
1432	1118	52
1433	1119	51
1434	1120	50
1435	1121	49
1436	1122	49
1437	1122	48
1438	1123	47
1439	1124	46
1440	1125	46
1441	1125	45
1442	1126	44
1443	1127	43
1444	1128	42
1445	1128	42
1446	1129	41
1447	1130	40
1448	1131	39
1449	1132	39
1450	1132	38
1451	1133	37
1452	1134	36
1453	1135	35
1454	1136	35
1455	1137	34
1456	1137	33
1457	1138	32
1458	1139	32
1459	1140	31
1460	1141	30
1461	1142	29
1462	1142	28
1463	1143	28
1464	1144	27
1465	1145	26
1466	1145	25
1467	1146	24
1468	1147	24
1469	1147	23
1470	1148	22
1471	1149	21
1472	1150	21
1473	1150	20
1474	1151	19
1475	1152	18
1476	1153	17
1477	1154	17
1478	1155	16
1479	1155	15
1480	1156	14
1481	1157	14
1482	1157	13
1483	1158	12
1484	1159	11
1485	1160	10
1486	1160	10
1487	1161	9
1488	1162	8
1489	1162	7
1490	1164	7
1491	1164	6
1492	1165	5
1493	1166	4
1494	1167	3
1495	1168	3
1496	1168	2
1497	1169	1
1498	1170	0
1499	1171	0
